user_id,model,rank,item_id
A0099735VDZ3HDCAAYKL,pop,1,B005C5YZ86
A0099735VDZ3HDCAAYKL,pop,2,B004E10W0E
A0099735VDZ3HDCAAYKL,pop,3,B00408AQ98
A0099735VDZ3HDCAAYKL,pop,4,B004N62M26
A0099735VDZ3HDCAAYKL,pop,5,B0038KX8S0
A0099735VDZ3HDCAAYKL,pop,6,B004A8ZT9A
A0099735VDZ3HDCAAYKL,pop,7,B005CCM48M
A0099735VDZ3HDCAAYKL,pop,8,B0054H1I7S
A0099735VDZ3HDCAAYKL,pop,9,B004AYDJM8
A0099735VDZ3HDCAAYKL,pop,10,B003XVYJ2S
A0099735VDZ3HDCAAYKL,l2r,1,B004W4M80U
A0099735VDZ3HDCAAYKL,l2r,2,B004KNWXBM
A0099735VDZ3HDCAAYKL,l2r,3,B00506DAW4
A0099735VDZ3HDCAAYKL,l2r,4,B0052XTW5Y
A0099735VDZ3HDCAAYKL,l2r,5,B004T3G12K
A0099735VDZ3HDCAAYKL,l2r,6,B0057QN6N0
A0099735VDZ3HDCAAYKL,l2r,7,B005CX8JF8
A0099735VDZ3HDCAAYKL,l2r,8,B0048EJUEQ
A0099735VDZ3HDCAAYKL,l2r,9,B00513NIU0
A0099735VDZ3HDCAAYKL,l2r,10,B0030MQJP0
A10CIHFHGR4IPJ,pop,1,B005C5YZ86
A10CIHFHGR4IPJ,pop,2,B004E10W0E
A10CIHFHGR4IPJ,pop,3,B00408AQ98
A10CIHFHGR4IPJ,pop,4,B004N62M26
A10CIHFHGR4IPJ,pop,5,B0038KX8S0
A10CIHFHGR4IPJ,pop,6,B004A8ZT9A
A10CIHFHGR4IPJ,pop,7,B005CCM48M
A10CIHFHGR4IPJ,pop,8,B0054H1I7S
A10CIHFHGR4IPJ,pop,9,B004AYDJM8
A10CIHFHGR4IPJ,pop,10,B003XVYJ2S
A10CIHFHGR4IPJ,l2r,1,B004W4M80U
A10CIHFHGR4IPJ,l2r,2,B004KNWXBM
A10CIHFHGR4IPJ,l2r,3,B00506DAW4
A10CIHFHGR4IPJ,l2r,4,B0052XTW5Y
A10CIHFHGR4IPJ,l2r,5,B004T3G12K
A10CIHFHGR4IPJ,l2r,6,B0057QN6N0
A10CIHFHGR4IPJ,l2r,7,B005CX8JF8
A10CIHFHGR4IPJ,l2r,8,B0048EJUEQ
A10CIHFHGR4IPJ,l2r,9,B00513NIU0
A10CIHFHGR4IPJ,l2r,10,B0030MQJP0
A10YARRHC2VTLL,pop,1,B005C5YZ86
A10YARRHC2VTLL,pop,2,B004E10W0E
A10YARRHC2VTLL,pop,3,B00408AQ98
A10YARRHC2VTLL,pop,4,B004N62M26
A10YARRHC2VTLL,pop,5,B0038KX8S0
A10YARRHC2VTLL,pop,6,B004A8ZT9A
A10YARRHC2VTLL,pop,7,B005CCM48M
A10YARRHC2VTLL,pop,8,B0054H1I7S
A10YARRHC2VTLL,pop,9,B004AYDJM8
A10YARRHC2VTLL,pop,10,B003XVYJ2S
A10YARRHC2VTLL,l2r,1,B004W4M80U
A10YARRHC2VTLL,l2r,2,B004KNWXBM
A10YARRHC2VTLL,l2r,3,B00506DAW4
A10YARRHC2VTLL,l2r,4,B0052XTW5Y
A10YARRHC2VTLL,l2r,5,B004T3G12K
A10YARRHC2VTLL,l2r,6,B0057QN6N0
A10YARRHC2VTLL,l2r,7,B005CX8JF8
A10YARRHC2VTLL,l2r,8,B0048EJUEQ
A10YARRHC2VTLL,l2r,9,B00513NIU0
A10YARRHC2VTLL,l2r,10,B0030MQJP0
A11AE9GEE975UL,pop,1,B005C5YZ86
A11AE9GEE975UL,pop,2,B004E10W0E
A11AE9GEE975UL,pop,3,B00408AQ98
A11AE9GEE975UL,pop,4,B004N62M26
A11AE9GEE975UL,pop,5,B0038KX8S0
A11AE9GEE975UL,pop,6,B004A8ZT9A
A11AE9GEE975UL,pop,7,B005CCM48M
A11AE9GEE975UL,pop,8,B0054H1I7S
A11AE9GEE975UL,pop,9,B004AYDJM8
A11AE9GEE975UL,pop,10,B003XVYJ2S
A11AE9GEE975UL,l2r,1,B004W4M80U
A11AE9GEE975UL,l2r,2,B004KNWXBM
A11AE9GEE975UL,l2r,3,B00506DAW4
A11AE9GEE975UL,l2r,4,B0052XTW5Y
A11AE9GEE975UL,l2r,5,B004T3G12K
A11AE9GEE975UL,l2r,6,B0057QN6N0
A11AE9GEE975UL,l2r,7,B005CX8JF8
A11AE9GEE975UL,l2r,8,B0048EJUEQ
A11AE9GEE975UL,l2r,9,B00513NIU0
A11AE9GEE975UL,l2r,10,B0030MQJP0
A11AY06XAGOEW,pop,1,B005C5YZ86
A11AY06XAGOEW,pop,2,B004E10W0E
A11AY06XAGOEW,pop,3,B00408AQ98
A11AY06XAGOEW,pop,4,B004N62M26
A11AY06XAGOEW,pop,5,B0038KX8S0
A11AY06XAGOEW,pop,6,B004A8ZT9A
A11AY06XAGOEW,pop,7,B005CCM48M
A11AY06XAGOEW,pop,8,B0054H1I7S
A11AY06XAGOEW,pop,9,B004AYDJM8
A11AY06XAGOEW,pop,10,B003XVYJ2S
A11AY06XAGOEW,l2r,1,B004W4M80U
A11AY06XAGOEW,l2r,2,B004KNWXBM
A11AY06XAGOEW,l2r,3,B00506DAW4
A11AY06XAGOEW,l2r,4,B0052XTW5Y
A11AY06XAGOEW,l2r,5,B004T3G12K
A11AY06XAGOEW,l2r,6,B0057QN6N0
A11AY06XAGOEW,l2r,7,B005CX8JF8
A11AY06XAGOEW,l2r,8,B0048EJUEQ
A11AY06XAGOEW,l2r,9,B00513NIU0
A11AY06XAGOEW,l2r,10,B0030MQJP0
A11F5KW6QXHL8L,pop,1,B005C5YZ86
A11F5KW6QXHL8L,pop,2,B004E10W0E
A11F5KW6QXHL8L,pop,3,B00408AQ98
A11F5KW6QXHL8L,pop,4,B004N62M26
A11F5KW6QXHL8L,pop,5,B0038KX8S0
A11F5KW6QXHL8L,pop,6,B004A8ZT9A
A11F5KW6QXHL8L,pop,7,B005CCM48M
A11F5KW6QXHL8L,pop,8,B0054H1I7S
A11F5KW6QXHL8L,pop,9,B004AYDJM8
A11F5KW6QXHL8L,pop,10,B003XVYJ2S
A11F5KW6QXHL8L,l2r,1,B004W4M80U
A11F5KW6QXHL8L,l2r,2,B004KNWXBM
A11F5KW6QXHL8L,l2r,3,B00506DAW4
A11F5KW6QXHL8L,l2r,4,B0052XTW5Y
A11F5KW6QXHL8L,l2r,5,B004T3G12K
A11F5KW6QXHL8L,l2r,6,B0057QN6N0
A11F5KW6QXHL8L,l2r,7,B005CX8JF8
A11F5KW6QXHL8L,l2r,8,B0048EJUEQ
A11F5KW6QXHL8L,l2r,9,B00513NIU0
A11F5KW6QXHL8L,l2r,10,B0030MQJP0
A11VUG7M2C79VV,pop,1,B005C5YZ86
A11VUG7M2C79VV,pop,2,B004E10W0E
A11VUG7M2C79VV,pop,3,B00408AQ98
A11VUG7M2C79VV,pop,4,B004N62M26
A11VUG7M2C79VV,pop,5,B0038KX8S0
A11VUG7M2C79VV,pop,6,B004A8ZT9A
